CIE9;LITERAL9
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0119;TUBERCULOSIS PULMONAR SIN ESPECIFICACION
0120;PLEURESIA TUBERCULOSA
0120;PLEURESIA TUBERCULOSA
0120;PLEURESIA TUBERCULOSA
0120;PLEURESIA TUBERCULOSA
0121;TUBERCULOSIS DE LOS GANGLIOS LINFATICOS INTRATORACICOS
0121;TUBERCULOSIS DE LOS GANGLIOS LINFATICOS INTRATORACICOS
0122;TUBERCULOSIS LIMITADA A LA TRAQUEA O A LOS BRONQUIOS
0123;LARINGITIS TUBERCULOSA
0123;LARINGITIS TUBERCULOSA
0128;OTRAS TUBERCULOSIS DEL APARATO RESPIRATORIO
0128;OTRAS TUBERCULOSIS DEL APARATO RESPIRATORIO
0128;OTRAS TUBERCULOSIS DEL APARATO RESPIRATORIO
0128;OTRAS TUBERCULOSIS DEL APARATO RESPIRATORIO
0130;MENINGITIS TUBERCULOSA
0130;MENINGITIS TUBERCULOSA
0131;TUBERCULOMA DE LAS MENINGES
0138;OTRAS TUBERCULOSIS DE LAS MENIGUES Y DEL SIST. NERV.CENTRAL
0139;TUBERCULOSIS DE MENINGES Y SIS.N.C.SIN ESPECIFICACION
014;TB DE LOS INTESTINOS, DEL PERITONEO Y DE LOS GANGLIOS M.S
014;TB DE LOS INTESTINOS, DEL PERITONEO Y DE LOS GANGLIOS M.S
0150;TUBERCULOSIS DE LA COLUMNA VERTEBRAL
0151;TUBERCULOSIS DE LA CADERA
0152;TUBERCULOSIS DE LA RODILLA
0157;TUBERCULOSIS DE OTROS HUESOS
0158;TUBERCULOSIS DE OTRAS ARTICULACIONES
0159;TUBERCULOSIS DE HUESOS Y ARTICULACIONES SIN ESPECIFICACION
0160;TUBERCULOSIS DEL RIÑON
0160;TUBERCULOSIS DEL RIÑON
0161;TUBERCULOSIS DE OTROS ORGANOS URINARIOS
0162;TUBERCULOSIS DEL EPIDIDIMO
0163;TUBERCULOSIS DE OTROS ORGANOS GENITALES MASCULINOS
0164;TUBERCULOSIS DE LOS ORGANOS GENITALES FEMENINOS
0164;TUBERCULOSIS DE LOS ORGANOS GENITALES FEMENINOS
0169;TUBERCULOSIS DEL APARATO GENITOURINARIO SIN ESPECIFICACION
0170;TUBERCULOSIS DE PIEL Y TEJIDO CELULAR SUBCUTANEO
0170;TUBERCULOSIS DE PIEL Y TEJIDO CELULAR SUBCUTANEO
0171;ERITEMA NUDOSO CON REACCION DE HIPERSENSIBILIDAD EN LA TB
0172;TUBERCULOSI GANGLIOS LINFATICOS PERIFERICOS
0172;TUBERCULOSI GANGLIOS LINFATICOS PERIFERICOS
0173;TUBERCULOSIS DE OJO
0174;TUBERCULOSIS DE OIDO
0175;TUBERCULOSIS GLANDULA TIROIDES
0176;TUBERCULOSIS GLANDULAS SUPRARRENALES
0176;TUBERCULOSIS GLANDULAS SUPRARRENALES
0177;TUBERCULOSIS BAZO
0178;OTRAS TUBERCULOSIS DE OTROS ORGANOS
0178;OTRAS TUBERCULOSIS DE OTROS ORGANOS
0178;OTRAS TUBERCULOSIS DE OTROS ORGANOS
0180;TUBERCULOSIS MILLAR AGUDA
0180;TUBERCULOSIS MILLAR AGUDA
0180;TUBERCULOSIS MILLAR AGUDA
0188;OTRAS TUBERCULOSIS MILLAR
0189;TUBERCULOSI MILLAR SIN ESPECIFICACION
0200;PESTE BUBONICA
0201;PESTE CELULOCUTANEA
0202;PESTE SEPTICEMICA
0203;PESTE NEUMONICA PRIMARIA
0204;PESTE NEUMONICA SECUNDARIA
0205;PESTE NEUMONICA, SIN ESPECIFICACION
0208;OTRAS PESTES
0208;OTRAS PESTES
0209;PESTES SIN ESPECIFICACION
0209;PESTES SIN ESPECIFICACION
021;TULAREMIA
021;TULAREMIA
021;TULAREMIA
021;TULAREMIA
021;TULAREMIA
021;TULAREMIA
021;TULAREMIA
0220;CARBUNCO CUTANEO
0221;CARBUNCO PULMONAR
0222;CARBUNCO GASTROINTESTINAL
0223;CARBUNCO SEPTICEMICO
0228;OTRAS MANIFESTACIONES CARBUNCO
0229;CARBUNCO SIN ESPECIFICACION
0230;BRUCELOSIS POR BRUCELLA MELITENSIS
0231;BRUCELOSIS POR BRUCELLA ABORTUS
0232;BRUCELOSIS POR BRUCELLA SUIS
0233;BRUCELOSIS POR BRUCELLA CANIS
0238;OTRAS BRUCELOSIS
0239;BRUCELOSIS SIN ESPECIFICACION
0239;BRUCELOSIS SIN ESPECIFICACION
024;MUERMO
025;MELIOIDOSIS
025;MELIOIDOSIS
025;MELIOIDOSIS
025;MELIOIDOSIS
0260;FIEBRE ESPIRILAR POR MORDEDURA DE RATA
0261;FIEBRE ESTREPTOBACILAR POR MORDEDURA DE RATA
0269;FIEBRE POR MORDEDURA DE RATA SIN ESPECIFICACION
0270;LISTERIOSIS
0270;LISTERIOSIS
0270;LISTERIOSIS
0270;LISTERIOSIS
0270;LISTERIOSIS
0271;INFECCION POR ERYSIPELOTHRIX
0271;INFECCION POR ERYSIPELOTHRIX
0271;INFECCION POR ERYSIPELOTHRIX
0271;INFECCION POR ERYSIPELOTHRIX
0272;PASTEURELOSIS
0272;PASTEURELOSIS
0278;OTRAS LISTERIOSIS
0279;LISTERIOSIS SIN ESPECIFICACION
0300;LEPRA LEPROMATOSA (TIPO L)
0301;LEPRA TUBERCULOIDE (TIPO T)
0301;LEPRA TUBERCULOIDE (TIPO T)
0302;LEPRA INDETERMINADA (GRUPO I)
0302;LEPRA INDETERMINADA (GRUPO I)
0303;LEPRA DIMORFA (GRUPO D)
0308;OTRAS LEPRAS
0308;OTRAS LEPRAS
0308;OTRAS LEPRAS
0309;LEPRAS SIN ESPECIFICACION
0309;LEPRAS SIN ESPECIFICACION
0310;ENFERMEDADES DEBIDAS A OTRAS MICROBACTERIAS DE LOCA.PULMONAR
0310;ENFERMEDADES DEBIDAS A OTRAS MICROBACTERIAS DE LOCA.PULMONAR
0311;ENFERMEDADES DEBIDAS A OTRAS MICROBACTERIAS DE LOCA CUTANEA
0311;ENFERMEDADES DEBIDAS A OTRAS MICROBACTERIAS DE LOCA CUTANEA
0318;ENFERMEDADES DEBIDAS A OTRAS MICROBAC.EN OTRAS LOCALIZACIONES
0319;ENFERMEDADES DEBIDAS A OTRAS MICROBAC.DE LOCALIZACION NO ESP.
0320;DIFTERIA FAUCAL
0320;DIFTERIA FAUCAL
0321;DISTERIA NASOFARINGEA
0321;DISTERIA NASOFARINGEA
0322;DIFTERIA NASAL ANTERIOR
0323;DIFTERIA LARINGEA
0323;DIFTERIA LARINGEA
0328;OTRAS DIFTERIAS
0328;OTRAS DIFTERIAS
0329;DIFTERIAS SIN ESPECIFICACION
0330;TOS FERINA POR BORDETELLA PERTUSSIS (B.PERTUSSIS)
0331;TOS FERINA POR BORDETELLA PARAPERTUSSIS (B. PARAPERTUSSIS)
0338;TOS FERINA POR OTROS ORGANISMOS ESPECIFICADOS
0339;TOS FERINA SIN ESPECIFICACION
0340;ANGINA ESTREPTOCOCICA
0340;ANGINA ESTREPTOCOCICA
0340;ANGINA ESTREPTOCOCICA
0340;ANGINA ESTREPTOCOCICA
0340;ANGINA ESTREPTOCOCICA
0340;ANGINA ESTREPTOCOCICA
0340;ANGINA ESTREPTOCOCICA
0341;ESCARLATINA
0341;ESCARLATINA
035;ERISIPELA
0360;MENINGITIS MENINGOCOCICA
0360;MENINGITIS MENINGOCOCICA
0361;ENCEFALITIS MENINGOCOCICA
0362;MENINGOCOCCEMIA
0362;MENINGOCOCCEMIA
0362;MENINGOCOCCEMIA
0363;SINDROME DE WATERHOUSE-FRIDERICHSEN, MENINGOCOCICO
0364;CARDITIS MENINGOCOCICA
0368;OTRAS INFECCIONES MENINGOCOCICAS
0369;INFECCIONES MENINGOCOCIDA SIN ESPECIFICACION
037;TETANOS
0380;SEPTICEMIA ESTREPTOCOCICA
0380;SEPTICEMIA ESTREPTOCOCICA
0380;SEPTICEMIA ESTREPTOCOCICA
0380;SEPTICEMIA ESTREPTOCOCICA
0380;SEPTICEMIA ESTREPTOCOCICA
0381;SEPTICEMIA ESTAFILOCOCICA
0381;SEPTICEMIA ESTAFILOCOCICA
0381;SEPTICEMIA ESTAFILOCOCICA
0382;SEPTICEMIA NEUMOCOCICA
0383;SEPTICEMIA DEBIDA A ANAEROBIOS
0384;SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
0388;OTRAS SEPTICEMIAS ESPECIFICADAS
0388;OTRAS SEPTICEMIAS ESPECIFICADAS
0389;SEPTICEMIA NO ESPECIFICADA
0390;ACTINOMICOSIS CUTANEA
0390;ACTINOMICOSIS CUTANEA
0390;ACTINOMICOSIS CUTANEA
0390;ACTINOMICOSIS CUTANEA
0391;ACTINOMICOSIS PULMONAR
0391;ACTINOMICOSIS PULMONAR
0392;ACTINOMICOSIS ABDOMINAL
0393;ACTINOMICOSIS CERVICOFACIAL
0394;ACTINOMICOSIS PIE DE MADURA
0394;ACTINOMICOSIS PIE DE MADURA
0394;ACTINOMICOSIS PIE DE MADURA
0398;ACTINOMICOSIS DE OTROS SITIOS ESPECIFICADOS
0398;ACTINOMICOSIS DE OTROS SITIOS ESPECIFICADOS
0398;ACTINOMICOSIS DE OTROS SITIOS ESPECIFICADOS
0398;ACTINOMICOSIS DE OTROS SITIOS ESPECIFICADOS
0399;ACTINOMICOSIS DE SITIO NO ESPECIFICADO
0399;ACTINOMICOSIS DE SITIO NO ESPECIFICADO
0399;ACTINOMICOSIS DE SITIO NO ESPECIFICADO
0399;ACTINOMICOSIS DE SITIO NO ESPECIFICADO
0399;ACTINOMICOSIS DE SITIO NO ESPECIFICADO
0399;ACTINOMICOSIS DE SITIO NO ESPECIFICADO
0400;GANGRENA GASEOSA
0401;RINOSCLEROMA
0402;ENFERMEDAD DE WHIPPLE
0403;NECROBACILOSIS
0408;OTRAS ENFERMEDADES BACTERIANAS
0408;OTRAS ENFERMEDADES BACTERIANAS
0408;OTRAS ENFERMEDADES BACTERIANAS
0410;ESTREPTOCOCO
0410;ESTREPTOCOCO
0410;ESTREPTOCOCO
0410;ESTREPTOCOCO
0410;ESTREPTOCOCO
0410;ESTREPTOCOCO
0411;ESTAFILOCOCO
0411;ESTAFILOCOCO
0411;ESTAFILOCOCO
0411;ESTAFILOCOCO
0412;NEUMOCOCO
0412;NEUMOCOCO
0413;BACILO DE FRIEDLANDER
0413;BACILO DE FRIEDLANDER
0414;ESCHERICHIA COLI
0414;ESCHERICHIA COLI
0415;HAEMOPHILUS INFLUENZAE (H.INFLUENZAE)
0415;HAEMOPHILUS INFLUENZAE (H.INFLUENZAE)
0416;PROTEUS (MIRABILIS)(MORGANII)
0416;PROTEUS (MIRABILIS)(MORGANII)
0417;PSEUDOMONAS
0417;PSEUDOMONAS
0418;OTRAS INFECCIONES BACTERIANAS EN AFECCIONES C.E.O.P.
0418;OTRAS INFECCIONES BACTERIANAS EN AFECCIONES C.E.O.P.
0418;OTRAS INFECCIONES BACTERIANAS EN AFECCIONES C.E.O.P.
0418;OTRAS INFECCIONES BACTERIANAS EN AFECCIONES C.E.O.P.
0418;OTRAS INFECCIONES BACTERIANAS EN AFECCIONES C.E.O.P.
0418;OTRAS INFECCIONES BACTERIANAS EN AFECCIONES C.E.O.P.
0419;OTRAS INFECCIONES BACTERIANAS EN AFECC.C.E.O.P.SIN ESPECIFICA
0450;POLIOMIELITIS AGUDA PARALITICA ESPECIFICADA COMO BULBAR
0450;POLIOMIELITIS AGUDA PARALITICA ESPECIFICADA COMO BULBAR
0451;POLIOMIELITIS AGUDA CON OTRA PARALISIS
0451;POLIOMIELITIS AGUDA CON OTRA PARALISIS
0451;POLIOMIELITIS AGUDA CON OTRA PARALISIS
0451;POLIOMIELITIS AGUDA CON OTRA PARALISIS
0452;POLIOMIELITIS AGUDA NO PARALITICA
0452;POLIOMIELITIS AGUDA NO PARALITICA
0459;POLIOMIELITIS AGUDA SIN OTRA ESPECIFICACION
0459;POLIOMIELITIS AGUDA SIN OTRA ESPECIFICACION
0460;KURU
0461;ENFERMEDAD DE JAKOB CREUTZFELDT
0462;PANENCEFALITIS ESCLEROSANTE SUBAGUDA
0463;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA
0468;KURU OTRAS
0469;KURU SIN ESPECIFICACION
0470;MENINGITIS VIRUS COXSACKIE
0471;MENINGITIS VIRUS ECHO
0478;MENINGITIS OTROS VIRUS
0479;MENINGITIS SIN ESPECIFICACION
0479;MENINGITIS SIN ESPECIFICACION
0479;MENINGITIS SIN ESPECIFICACION
0479;MENINGITIS SIN ESPECIFICACION
048;OTRAS ENFERMEDADES DEL S.N.C. DEBIDAS A ENTEROVIRUS
048;OTRAS ENFERMEDADES DEL S.N.C. DEBIDAS A ENTEROVIRUS
048;OTRAS ENFERMEDADES DEL S.N.C. DEBIDAS A ENTEROVIRUS
048;OTRAS ENFERMEDADES DEL S.N.C. DEBIDAS A ENTEROVIRUS
0490;CORIOMENINGITIS LINFOCITICA
0491;MENINGITIS DEBIDA A ADENOVIRUS
0498;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSMITIDAS POR ARTROPODOS
0498;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSMITIDAS POR ARTROPODOS
0498;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSMITIDAS POR ARTROPODOS
0498;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSMITIDAS POR ARTROPODOS
0498;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSMITIDAS POR ARTROPODOS
0498;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSMITIDAS POR ARTROPODOS
0499;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSM.POR ARTROP.SIN ESPECI
0499;OTRAS ENF. VIRICAS DEL S.N.C. NO TRANSM.POR ARTROP.SIN ESPECI
0500;VARIOLA MAJOR
0501;ALASTRIM
0502;VIRUELA MODIFICADA
0509;VIRUELA, SIN ESPECIFICACION
0510;VACUNA
0511;SEUDOVACUNA
0512;DERMATITIS PUSTULOSA CONTAGIOSA
0519;PARAVACUNA, SIN OTRA ESPECIFICACION
052;VARICELA
052;VARICELA
052;VARICELA
052;VARICELA
052;VARICELA
0530;HERPES ZOSTER CON MENINGITIS
0531;HERPES ZOSTER CON OTRAS COMPLICACIONES DEL SISTEMA NERVIOSO
0531;HERPES ZOSTER CON OTRAS COMPLICACIONES DEL SISTEMA NERVIOSO
0532;HERPES ZOSTER CON COMPLICACIONES OFTALMICAS
0537;HERPES ZOSTER CON OTRAS COMPLICACIONES
0537;HERPES ZOSTER CON OTRAS COMPLICACIONES
0537;HERPES ZOSTER CON OTRAS COMPLICACIONES
0538;HERPES ZOSTER CON COMPLICACIONES NO ESPECIFICADAS
0539;HERPES ZOSTER SIN MENCION DE COMPLICACION
0540;HERPES SIMPLE ECZEMA HERPETICO
0541;HERPES GENITAL
0541;HERPES GENITAL
0542;GINGIVOSTOMATITIS HERPETICA
0543;MENINGOENCEFALITIS HERPETICA
0544;HERPES SIMPLE CON COMPLICACIONES OFTALMICAS
0545;SEPTICEMIA HERPETICA
0546;PARONIQUIA HERPETICA
0547;HERPES SIMPLE CON OTRAS COMPLICACIONES
0547;HERPES SIMPLE CON OTRAS COMPLICACIONES
0547;HERPES SIMPLE CON OTRAS COMPLICACIONES
0547;HERPES SIMPLE CON OTRAS COMPLICACIONES
0547;HERPES SIMPLE CON OTRAS COMPLICACIONES
0548;HERPES SIMPLE CON COMPLICACION NO ESPECIFICADA
0549;HERPES SIMPLE SIN MENCION DE COMPLICACION
0549;HERPES SIMPLE SIN MENCION DE COMPLICACION
0550;ENCEFALITIS POSARAMPIONOSA
0551;NEUMONIA POSARAMPIONOSA
0552;OTITIS POSARAMPIONOSA
0557;SARAMPION CON OTRAS COMPLICACIONES
0557;SARAMPION CON OTRAS COMPLICACIONES
0557;SARAMPION CON OTRAS COMPLICACIONES
0558;SARAMPION CON COMPLICACIONES NO ESPECIFICADAS
0559;SARAMPION SIN MENCION DE COMPLICACION
0560;RUBEOLA CON COMPLICACIONES NEUROLOGICAS
0567;RUBEOLA CON OTRAS COMPLICACIONES
0568;RUBEOLA CON COMPLICACIONES NO ESPECIFICADAS
0569;RUBEOLA SIN MENCION DE COMPLICACION
0569;RUBEOLA SIN MENCION DE COMPLICACION
0570;ERITEMA INFECCIOSO (QUINTA ENFERMEDAD)
0578;OTROS EXANTEMAS VIRICOS
0578;OTROS EXANTEMAS VIRICOS
0578;OTROS EXANTEMAS VIRICOS
0579;OTROS EXANTEMAS VIRICOS SIN ESPECIFICACION
0600;FIEBRE AMARILLA SELVATICA
0601;FIEBRE AMARILLA URBANA
0609;FIEBRE AMARILLA SIN ESPECIFICACION
061;DENGUE
061;DENGUE
0620;ENCEFALITIS TIPO JAPONES
0621;ENCEFALITIS EQUINA DEL OESTE
0622;ENCEFALITIS EQUINA DEL ESTE
0623;ENCEFALITIS TIPO SAN LUIS
0624;ENCEFALITIS AUSTRALIANA
0625;ENCEFALITIS POR VIRUS DE CALIFORNIA
0625;ENCEFALITIS POR VIRUS DE CALIFORNIA
0628;OTRAS ENCEFALITIS VIRICAS TRASMITIDAS POR MOSQUITOS
0628;OTRAS ENCEFALITIS VIRICAS TRASMITIDAS POR MOSQUITOS
0629;ENCEFALITIS VIRICAS TRANSMITIDAS POR MOSQUITOS SIN ESPECIFICA
0630;ENCEFALITIS TIPO RUSO PRIMAVEROESTIVAL (TAIGA)
0631;ENCEFALOMIELITIS OVINA
0632;ENCEFALITIS DE EUROPA CENTRAL
0638;OTRAS ENCEFALITIS VIRICAS TRANSMITIDAS POR GARRAPATAS
0639;ENCEFALITIS VIRICAS TRANS.POR GARRAPATAS SIN ESPECIFICAON
064;ENCEFALITIS VIRICAS TRANSMITIDAS POR OTROS ARTROPODOS Y N.E.
0650;FIEBRE HEMORRAGICA DE CRIMEA(FHC POR VIRUS CONGO)
0651;FIEBRE HEMORRAGICA DE OMSK
0652;ENFERMEDAD DE LA SELVA DE KYASANUR
0653;OTRAS FIEBRES HEMORRAGICAS TRANSMITIDAS POR GARRAPATAS
0654;FIEBRES HEMORRAGICAS TRANSMITIDAS POR MOSQUITOS
0654;FIEBRES HEMORRAGICAS TRANSMITIDAS POR MOSQUITOS
0654;FIEBRES HEMORRAGICAS TRANSMITIDAS POR MOSQUITOS
0658;OTRAS FIEBRES HEMORRAGICAS TRANSMITIDAS POR ARTROPODOS
0658;OTRAS FIEBRES HEMORRAGICAS TRANSMITIDAS POR ARTROPODOS
0658;OTRAS FIEBRES HEMORRAGICAS TRANSMITIDAS POR ARTROPODOS
0659;OTRAS FIEBRES HEMORRAGICAS TRANS.POR ARTROPODOS S.E.
0659;OTRAS FIEBRES HEMORRAGICAS TRANS.POR ARTROPODOS S.E.
0660;FIEBRE FLEBOTOMA
0660;FIEBRE FLEBOTOMA
0661;FIEBRE TRANSMITIDA POR GARRAPATAS
0661;FIEBRE TRANSMITIDA POR GARRAPATAS
0662;FIEBRE EQUINA VENEZOLANA
0663;OTRAS FIEBRES TRANSMITIDAS POR MOSQUITOS
0663;OTRAS FIEBRES TRANSMITIDAS POR MOSQUITOS
0663;OTRAS FIEBRES TRANSMITIDAS POR MOSQUITOS
0663;OTRAS FIEBRES TRANSMITIDAS POR MOSQUITOS
0663;OTRAS FIEBRES TRANSMITIDAS POR MOSQUITOS
0663;OTRAS FIEBRES TRANSMITIDAS POR MOSQUITOS
0663;OTRAS FIEBRES TRANSMITIDAS POR MOSQUITOS
0668;OTRAS FIEBRES FLEBOTOMAS
0668;OTRAS FIEBRES FLEBOTOMAS
0669;FIEBRE FLEBOTOMA SIN ESPECIFICACION
0669;FIEBRE FLEBOTOMA SIN ESPECIFICACION
0700;HEPATITIS VIRICA A  CON COMA HEPATICO
0701;HEPATITIS VIRICA A SIN MENCION DE COMA HEPATICO
0702;HEPATITIS VIRICA B CON COMA HEPATICO
0702;HEPATITIS VIRICA B CON COMA HEPATICO
0702;HEPATITIS VIRICA B CON COMA HEPATICO
0702;HEPATITIS VIRICA B CON COMA HEPATICO
0703;HEPATITIS VIRICA B SIN MENCION DE COMA HEPATICO
0703;HEPATITIS VIRICA B SIN MENCION DE COMA HEPATICO
0703;HEPATITIS VIRICA B SIN MENCION DE COMA HEPATICO
0703;HEPATITIS VIRICA B SIN MENCION DE COMA HEPATICO
0704;OTRAS HEPATITIS VIRICAS ESPECIFICADAS CON COMA HEPATICO
0704;OTRAS HEPATITIS VIRICAS ESPECIFICADAS CON COMA HEPATICO
0704;OTRAS HEPATITIS VIRICAS ESPECIFICADAS CON COMA HEPATICO
0704;OTRAS HEPATITIS VIRICAS ESPECIFICADAS CON COMA HEPATICO
0704;OTRAS HEPATITIS VIRICAS ESPECIFICADAS CON COMA HEPATICO
0705;OTRAS HEPATITIS VIRICAS ESPECI.F SIN MENCION DE COMA HEPATICO
0705;OTRAS HEPATITIS VIRICAS ESPECI.F SIN MENCION DE COMA HEPATICO
0705;OTRAS HEPATITIS VIRICAS ESPECI.F SIN MENCION DE COMA HEPATICO
0705;OTRAS HEPATITIS VIRICAS ESPECI.F SIN MENCION DE COMA HEPATICO
0705;OTRAS HEPATITIS VIRICAS ESPECI.F SIN MENCION DE COMA HEPATICO
0705;OTRAS HEPATITIS VIRICAS ESPECI.F SIN MENCION DE COMA HEPATICO
0706;HEPATITIS VIRICA NO ESPECIFICADA CON COMA HEPATICO
0706;HEPATITIS VIRICA NO ESPECIFICADA CON COMA HEPATICO
0709;HEPATITIS VIRICA N.E. SIN MENCION DE COMA HEPATICO
0709;HEPATITIS VIRICA N.E. SIN MENCION DE COMA HEPATICO
071;RABIA
071;RABIA
071;RABIA
0720;ORQUITIS URLIANA
0721;MENINGITIS URLIANA
0722;ENCEFALITIS URLIANA
0723;PANCREATITIS URLIANA
